consumer,resource
species16,species01
species16,species02
species16,species03
species16,species04
species16,species05
species17,species01
species17,species02
species17,species03
species17,species04
species17,species05
species17,species06
species17,species07
species18,species01
species18,species02
species18,species03
species18,species04
species18,species05
species18,species06
species18,species07
species18,species08
species18,species09
species19,species02
species19,species03
species19,species04
species19,species05
species19,species06
species19,species07
species19,species08
species19,species09
species19,species16
species20,species06
species20,species07
species20,species08
species20,species09
species20,species10
species20,species11
species20,species16
species20,species17
species20,species18
species20,species19
species21,species06
species21,species07
species21,species08
species21,species09
species21,species10
species21,species11
species21,species16
species21,species17
species21,species18
species21,species19
species22,species06
species22,species07
species22,species08
species22,species09
species22,species10
species22,species11
species22,species16
species22,species17
species22,species18
species22,species19
species23,species08
species23,species09
species23,species10
species23,species11
species23,species12
species23,species16
species23,species17
species23,species18
species23,species19
species24,species10
species24,species11
species24,species12
species24,species16
species24,species17
species24,species18
species24,species19
species24,species20
species24,species21
species25,species10
species25,species11
species25,species12
species25,species17
species25,species18
species25,species19
species25,species20
species25,species21
species25,species22
species26,species13
species26,species14
species26,species15
species26,species20
species26,species21
species26,species22
species26,species23
species26,species24
species26,species25
species27,species13
species27,species14
species27,species15
species27,species20
species27,species21
species27,species22
species27,species23
species27,species24
species27,species25
species28,species13
species28,species14
species28,species15
species28,species23
species28,species24
species28,species25
species29,species13
species29,species14
species29,species15
species29,species24
species29,species25
species30,species13
species30,species14
species30,species15
species30,species24
species30,species25
species30,species26
species31,species13
species31,species14
species31,species15
species31,species24
species31,species25
species31,species26
species31,species27
species32,species13
species32,species14
species32,species15
species32,species24
species32,species25
species32,species26
species32,species27
species33,species29
species33,species30
species33,species31
species33,species32
species34,species30
species34,species31
species34,species32
species35,species32
species36,species33
species37,species33
species37,species34
species37,species35
species37,species36
species38,species33
species38,species34
species38,species35
species38,species36
species39,species33
species39,species34
species39,species35
species39,species36
species40,species33
species40,species34
species40,species35
species40,species36
